270124,DUTY
UM,0100-0300
RS,
ZD,0600-0700
HJ,
JK,0300-0700
CL,"2100-0000
0600-0700"
YX,0000-0330
WX,0330-0700
KR,2100-0100
20224,DUTY
UM,2300-0100
RS,0100-0400
ZD,0100-0400
HJ,2100-2300
JK,"2100-2300
0600-0700"
CL,0400-0700
YX,2300-0100
WX,0600-0700
KR,0400-0700
80224,DUTY
UM,0100-0400
RS,0600-0700
ZD,2300-0100
HJ,0400-0700
JK,0400-0700
CL,2100-2300
YX,"2100-2300
0600-0700"
WX,2300-0100
KR,0100-0400
140224,DUTY
UM,
RS,2330-0300
ZD,2100-2330
HJ,
JK,"2100-2300
0600-0700"
CL,0300-0700
YX,2330-0300
WX,0300-0700
KR,0600-0700
200224,DUTY
UM,2200-0100
RS,0400-0700
ZD,"2100-2200
0600-0700"
HJ,0200-0500
JK,0500-0700
CL,0100-0400
YX,2100-2300
WX,2300-0200
KR,0600-0700
260224,DUTY
UM,2230-0100
RS,2100-0130
ZD,0100-0400
HJ,0400-0700
JK,"2100-2330
0600-0700"
CL,0400-0600
YX,0130-0400
WX,0600-0700
KR,0600-0700
30324,DUTY
UM,2200-0100
RS,0300-0500
ZD,2200-0100
HJ,0500-0700
JK,0100-0300
CL,"2100-2200
0600-0700"
YX,0100-0400
WX,0400-0700
KR,"2100-2200
0600-0700"
90324,DUTY
UM,2200-0000
RS,0500-0700
ZD,0130-0400
HJ,"2100-2200
0600-0700"
JK,0400-0700
CL,2300-0130
YX,0200-0500
WX,0000-0200
KR,"2100-2300
0600-0700"
150324,DUTY
UM,2200-0030
RS,2300-0000
ZD,2100-2300
HJ,0400-0700
JK,0300-0700
CL,"2100-2200
0600-0700"
YX,0600-0700
WX,0030-0300
KR,0000-0400
210324,DUTY
UM,0000-0400
RS,2100-2200
ZD,2100-2200
HJ,0300-0700
JK,0400-0700
CL,"2200-0000
0600-0700"
YX,
WX,0000-0300
KR,
270324,DUTY
UM,2100-2200
RS,0600-0700
ZD,0600-0700
HJ,0200-0400
JK,2300-0100
CL,0300-0700
YX,2200-0000
WX,0400-0700
KR,0000-0200
20424,DUTY
UM,
RS,0230-0500
ZD,
HJ,0500-0700
JK,2300-0130
CL,0130-0230
YX,0130-0400
WX,"2100-2300
0600-0700"
KR,0400-0700
80424,DUTY
UM,2200-0200
RS,0000-0300
ZD,
HJ,0600-0700
JK,2100-2200
CL,0300-0700
YX,
WX,2100-0000
KR,0600-0700
YH,0200-0500
RY,0500-0700
140424,DUTY
UM,
RS,0500-0700
ZD,2300-0100
HJ,"2100-2300
0600-0700"
JK,0300-0500
CL,0100-0300
YX,0100-0300
WX,0500-0700
KR,2300-0100
YH,"2100-2300
0600-0700"
RY,0300-0500
200424,DUTY
UM,2300-0200
RS,
ZD,0200-0430
HJ,
JK,"2100-2300
0600-0700"
CL,"2100-2300
0600-0700"
YX,0430-0700
WX,
KR,0430-0700
YH,0200-0430
RY,2300-0200
260424,DUTY
UM,2300-0130
RS,
ZD,
HJ,"2100-2300
0600-0700"
JK,0130-0400
CL,0400-0700
YX,0130-0400
WX,0400-0700
KR,2300-0130
YH,"2100-2300
0600-0700"
RY,
80524,DUTY
UM,
RS,
ZD,
HJ,2300-0130
JK,
CL,0400-0700
YX,2300-0130
WX,0130-0400
KR,0130-0400
YH,0400-0700
RY,"2100-2300
0600-0700"
SM,"2100-2300
0600-0700"
140524,DUTY
RS,2300-0100
ZD,
HJ,0100-0300
JK,0100-0300
CL,
YX,0300-0700
WX,"2100-2300
0600-0700"
KR,"2100-2300
0600-0700"
YH,2300-0100
RY,0300-0700
200524,DUTY
HJ,0400-0700
JK,"2100-2300
0600-0700"
CL,0130-0400
YX,2300-0130
WX,0130-0400
KR,0400-0700
YH,"2100-2300
0600-0700"
RY,2300-0130
260524,DUTY
HJ,0130-0400
JK,0130-0400
CL,"2100-2300
0600-0700"
YX,"2100-2300
0600-0700"
WX,0400-0700
KR,2300-0130
YH,2300-0130
RY,0400-0700
10624,DUTY
HJ,2200-0200
JK,"2100-2200
0600-0700"
CL,0400-0700
YX,0400-0700
WX,2200-0200
KR,0200-0400
YH,0200-0400
RY,"2100-2200
0600-0700"
